tweet_id,timestamp,handle,content
1638294021,Oct 24 2023 09:12 AM,@politic_watch,"The debate last night showed a clear distinction in policy regarding healthcare and taxes."
1638294022,Oct 24 2023 09:15 AM,@voter_daily,Unbelievable turnout at the rally today! People are really energized.
1638294023,Oct 24 2023 09:22 AM,@news_breaker,"Breaking: New poll numbers suggest a tight race in the swing states."
1638294024,Oct 24 2023 09:30 AM,@local_voice,I'm concerned about the proposed tax hikes. How will this affect small businesses?
1638294025,Oct 24 2023 09:45 AM,@tech_observer,The use of AI in campaign ads needs more regulation. It's getting out of hand.
1638294026,Oct 24 2023 10:00 AM,@happy_voter,So proud to cast my vote today! Democracy in action.
1638294027,Oct 24 2023 10:15 AM,@skeptic_news,Nothing will change. Same promises every election cycle.
1638294028,Oct 24 2023 10:30 AM,@economy_focus,Jobs report looks good. Credit where credit is due.
1638294029,Oct 24 2023 10:45 AM,@climate_voter,Disappointed that climate wasn't discussed enough in the debate.
1638294030,Oct 24 2023 11:00 AM,@middle_road,I'm still undecided. Both candidates have pros and cons.
